cmpy_id,security_id,name,symbol,sector,subsector,listing_date
94,160,"Ginebra San Miguel,  Inc.",GSMI,Industrial,"Food, Beverage & Tobacco","Apr 18, 1995"
224,190,"Global Ferronickel Holdings, Inc.",FNI,Mining and Oil,Mining,"Dec 14, 1994"
193,307,"Global-Estate Resorts, Inc.",GERI,Property,Property,"Nov 23, 1995"
129,384,"Globalport 900, Inc.",PORT,Services,Transportation Services,"Jun 09, 1948"
69,127,"Globe Telecom, Inc.",GLO,Services,Telecommunications,"Aug 11, 1975"
661,624,"Golden MV Holdings, Inc.",HVN,Services,Other Services,"Jun 29, 2016"
221,255,Grand Plaza Hotel Corporation,GPH,Services,Hotel & Leisure,"Dec 10, 1992"
132,243,Greenergy Holdings Incorporated,GREEN,Industrial,Electrical Components & Equipment,"Sep 26, 1996"
644,587,"Harbor Star Shipping Services, Inc. ",TUGS,Services,Transportation Services,"Oct 30, 2013"
211,155,"Holcim Philippines, Inc.",HLCM,Industrial,"Construction, Infra. & Allied Services","Jun 17, 1996"
82,203,"House of Investments, Inc.",HI,Holding Firms,Holding Firms,"Jul 02, 1962"
613,538,"I-Remit, Inc.",I,Financials,Other Financial Institutions,"Oct 17, 2007"
623,552,"IP E-Game Ventures, Inc.",EG,Services,Casinos & Gaming,"Feb 17, 2010"
4,218,"IPM Holdings, Inc.",IPM,Services,Other Services,"Jun 17, 1998"
201,336,"Imperial Resources, Inc.",IMP,Services,Information Technology,"Aug 31, 1970"
622,551,"Integrated Micro-Electronics, Inc.",IMI,Industrial,Electrical Components & Equipment,"Jan 21, 2010"
83,142,"International Container Terminal Services, Inc.",ICT,Services,Transportation Services,"Mar 23, 1992"
203,204,"Ionics, Inc.",ION,Industrial,Electrical Components & Equipment,"Jul 18, 1995"
204,128,"Island Information & Technology, Inc.",IS,Services,Information Technology,"Dec 06, 1988"
660,617,Italpinas Development Corporation,IDC,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Dec 07, 2015"
210,207,"JG Summit Holdings, Inc.",JGS,Holding Firms,Holding Firms,"Aug 09, 1993"
134,392,"Jackstones, Inc.",JAS,Services,Information Technology,"Oct 27, 1967"
86,158,Jollibee Foods Corporation,JFC,Industrial,"Food, Beverage & Tobacco","Jul 14, 1993"
261,470,Jolliville Holdings Corporation,JOH,Holding Firms,Holding Firms,"Jun 17, 2002"
87,208,"Keppel Philippines Holdings, Inc.",KPH,Holding Firms,Holding Firms,"Aug 26, 1987"
88,306,"Keppel Philippines Properties, Inc.",KEP,Property,Property,"Sep 11, 1989"
672,645,"Kepwealth Property Phils., Inc.",KPPI,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Aug 19, 2019"
236,469,"LBC Express Holdings, Inc.",LBC,Services,Transportation Services,"Dec 21, 2001"
205,379,LMG Corp.,LMG,Industrial,Chemicals,"Jan 07, 1986"
12,225,"LT Group, Inc.",LTG,Holding Firms,Holding Firms,"Nov 07, 1947"
96,253,Leisure & Resorts World Corporation,LR,Services,Casinos & Gaming,"Apr 17, 1958"
98,326,Lepanto Consolidated Mining Company,LC,Mining and Oil,Mining,"Apr 30, 1947"
227,159,"Liberty Flour Mills, Inc.",LFM,Industrial,"Food, Beverage & Tobacco","Apr 25, 1985"
37,377,Lodestar Investment Holdings Corporation,LODE,Holding Firms,Holding Firms,"May 26, 1989"
61,186,Lopez Holdings Corporation,LPZ,Holding Firms,Holding Firms,"Nov 25, 1993"
115,144,Lorenzo Shipping Corporation,LSC,Services,Transportation Services,"Jul 22, 1996"
126,383,"MEDCO Holdings, Inc.",MED,Financials,Other Financial Institutions,"Nov 18, 1975"
24,194,MJC Investments Corporation,MJIC,Holding Firms,Holding Firms,"Nov 11, 1955"
131,309,"MRC Allied, Inc.",MRC,Property,Property,"May 18, 1995"
685,671,"MREIT, Inc.",MREIT,Property,Property,"Oct 01, 2021"
206,217,Mabuhay Holdings Corporation,MHC,Holding Firms,Holding Firms,"Oct 22, 1990"
100,242,Mabuhay Vinyl Corporation,MVC,Industrial,Chemicals,"Feb 05, 1997"
145,221,"Macay Holdings, Inc.",MACAY,Industrial,"Food, Beverage & Tobacco","Jan 28, 1987"
106,212,MacroAsia Corporation,MAC,Services,Transportation Services,"May 21, 1970"
263,503,Makati Finance Corporation,MFIN,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Jan 06, 2003"
117,382,Manila Broadcasting Company,MBC,Services,Media,"Oct 08, 1949"
1,130,Manila Bulletin Publishing Corporation,MB,Services,Media,"Apr 18, 1990"
118,137,Manila Electric Company,MER,Industrial,"Electricity, Energy, Power & Water","Jan 08, 1992"
102,256,"Manila Jockey Club, Inc.",MJC,Services,Casinos & Gaming,"Oct 11, 1963"
119,328,Manila Mining Corporation,MA,Mining and Oil,Mining,"Dec 17, 1959"
270,518,"Manila Water Company, Inc.",MWC,Industrial,"Electricity, Energy, Power & Water","Mar 18, 2005"
120,120,Manulife Financial Corporation,MFC,Financials,Other Financial Institutions,"Sep 27, 1999"
175,177,"Marcventures Holdings, Inc.",MARC,Mining and Oil,Mining,"Jan 10, 1958"
135,163,"Max's Group, Inc.",MAXS,Industrial,"Food, Beverage & Tobacco","Dec 15, 2000"
627,564,Megawide Construction Corporation,MWIDE,Industrial,"Construction, Infra. & Allied Services","Feb 18, 2011"
127,215,Megaworld Corporation,MEG,Property,Property,"Jun 15, 1994"
677,653,MerryMart Consumer Corp.,MM,SME,SME,"Jun 15, 2020"
3,241,Metro Alliance Holdings & Equities Corp.,MAH,Services,Transportation Services,"Dec 08, 1947"
